;Categoria;Subcategoria;Categoria_Evento;Subcategoria_Evento;Registro;Material_Registro;Material;Tipo_Material;Convocatoria;Evaluacion;Tema;Tema_Articulo;Seccion;Faq;Pregunta_Faq;Respuesta_Faq;Fecha_Evento;Actividad;Organizador;Grupo_Investigacion;Pregunta;Tipo_Pregunta;Alternativa;Evaluacion_Tema_Articulo;Respuesta;Evaluador_Articulo;Titulo;Usuario;Rol_Usuario;Rol;Pais;Ciudad;Empresa;Tipo_Empresa;Cargo;Tipo_Empresa_Cargo;Empresa_Usuario;Auspicio;Conferencista_Evento;Conferencista_Evento_Articulo;Articulo;Autor_Articulo;Evento;Tipo_Evento;Subevento_Evento;Menu_Evento;Opcion_Menu;Menu;Submenu
cr_Actividad;;;;;;;;;;;;;;;;;A/M;O/C;;;;;;;;;;;;;;;;;;;;;;;;;A/M;A/M;;;;;
end_Actividad;;;;;;;;;;;;;;;;;A/M;O/E;;;;;;;;;;;;;;;;;;;;;;;;;A/M;A/M;;;;;
cr_Organizador;;;;;;;;;;;;;;;;;;;O/C;A/M;;;;;;;;;;;;;;;;;;;;;;;A/M;A/M;;;;;
end_Organizador;;;;;;;;;;;;;;;;;;;O/E;A/M;;;;;;;;;;;;;;;;;;;;;;;A/M;A/M;;;;;
cr_Grupo_Investigacion;;;;;;;;;;;;;;;;;;;;O/C;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
end_Grupo_Investigacion;;;;;;;;;;;;;;;;;;;;O/E;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
cr_Pregunta;;;;;;;;;A/M;A/M;;;A/M;;;;;;;;O/C;A/M;;;;;;;;;;;;;;;;;;;;;A/M;A/M;;;;;
end_Pregunta;;;;;;;;;A/M;A/M;;;A/M;;;;;;;;O/E;A/M;;;;;;;;;;;;;;;;;;;;;A/M;A/M;;;;;
cr_Tipo_Pregunta;;;;;;;;;;;;;;;;;;;;;;O/C;;;;;;;;;;;;;;;;;;;;;;;;;;;
end_Tipo_Pregunta;;;;;;;;;;;;;;;;;;;;;;O/E;;;;;;;;;;;;;;;;;;;;;;;;;;;
cr_Alternativa;;;;;;;;;A/M;A/M;;;A/M;;;;;;;;A/M;A/M;O/C;;;;;;;;;;;;;;;;;;;;A/M;A/M;;;;;
end_Alternativa;;;;;;;;;A/M;A/M;;;A/M;;;;;;;;A/M;A/M;O/E;;;;;;;;;;;;;;;;;;;;A/M;A/M;;;;;
